qid	query	matched_qid	matched_query	rank
190044	foods to detox liver naturally	369562	how to make recycled small containers	22
190044	foods to detox liver naturally	822097	what is the fragrant component of vanilla	23
190044	foods to detox liver naturally	382021	how to sweeten a detox drink	24
190044	foods to detox liver naturally	157427	do it yourself wedding reception food	25
190044	foods to detox liver naturally	355075	how to detoxify your liver naturally	26
190044	foods to detox liver naturally	685335	what is a good natural laxative	27
190044	foods to detox liver naturally	860249	what is vanilla extract used for	28
190044	foods to detox liver naturally	51655	best chemical product used to remove painted popcorn ceiling	29
190044	foods to detox liver naturally	355073	how to detox your liver naturally	30
190044	foods to detox liver naturally	370008	how to make weight loss detox drink	31
190044	foods to detox liver naturally	396076	ingredients in a laxative	32
190044	foods to detox liver naturally	626940	what do you replace vanilla extract with?	33
190044	foods to detox liver naturally	875660	what makes prunes a natural laxative?	34
190044	foods to detox liver naturally	553394	what amino acids help with detoxification	35
190044	foods to detox liver naturally	876682	what meals include roots eq	36
190044	foods to detox liver naturally	714719	what is an herbal active natural preserve a car	37
190044	foods to detox liver naturally	1184719	detoxify definition	38
190044	foods to detox liver naturally	185403	fastest laxatives	39
190044	foods to detox liver naturally	917399	what vitamins or food would be good for detox	40
190044	foods to detox liver naturally	681027	what is a detoxification	41
190044	foods to detox liver naturally	582063	what can i take to come down from coke	42
190044	foods to detox liver naturally	369848	how to make takeaway curry at home	43
190044	foods to detox liver naturally	201270	herb for liver detox	44
190044	foods to detox liver naturally	142413	detox how to reduce bloating	45
190044	foods to detox liver naturally	972526	where does artificial vanilla come from	46
190044	foods to detox liver naturally	1164514	what chemicals are used to extract organic mood & mind brand stevia	47
190044	foods to detox liver naturally	456889	most common ingredients in homemade ranch	48
190044	foods to detox liver naturally	900743	what teatox detox to buy	49
190044	foods to detox liver naturally	188630	food that has natural laxative effects	50
190044	foods to detox liver naturally	154354	diy food menus	51
190044	foods to detox liver naturally	1162969	what do i wear to a body wrap detox	52
190044	foods to detox liver naturally	582522	what can we use instead of cream of tartar	53
190044	foods to detox liver naturally	671127	what ingredients are in a sidecar drink	54
190044	foods to detox liver naturally	542251	ways to eat healthier during festive	55
190044	foods to detox liver naturally	355069	how to detox for marijuana	56
190044	foods to detox liver naturally	808782	what is the best way to detox your liver	57
190044	foods to detox liver naturally	368996	how to make hallucinogens at home	58
190044	foods to detox liver naturally	223081	how do you make ranch dressing out of mayonnaise	59
190044	foods to detox liver naturally	565604	what are some natural diuretic foods	60
190044	foods to detox liver naturally	430661	is vanilla a phenolics	61
190044	foods to detox liver naturally	189858	foods that work as a good laxative	62
190044	foods to detox liver naturally	189253	foods that contain beta carotene	63
190044	foods to detox liver naturally	661034	what foods are laxatives	64
190044	foods to detox liver naturally	368739	how to make detox tea	65
190044	foods to detox liver naturally	385034	how to use carne ranchera	66
190044	foods to detox liver naturally	719983	what is artificial vanilla made from	67
190044	foods to detox liver naturally	190472	foods to take on picnic	68
190044	foods to detox liver naturally	396081	ingredients in nyquil	69
190044	foods to detox liver naturally	355071	how to detox marijuana	70
190044	foods to detox liver naturally	671197	what ingredients to avoid	71
190044	foods to detox liver naturally	661617	what foods have natural diuretics	72
190044	foods to detox liver naturally	669249	what home products for vomiting	73
190044	foods to detox liver naturally	881201	what natural ingredients	74
190044	foods to detox liver naturally	191828	fresh ingredients homemade food health and wellness	75
190044	foods to detox liver naturally	195785	good food sources of vitamin k prunes or dried plma	76
190044	foods to detox liver naturally	808806	what is the best way to preserve cherries	77
190044	foods to detox liver naturally	367486	how to make a detox bath with baking soda	78
190044	foods to detox liver naturally	355431	how to distill alcohol at home	79
190044	foods to detox liver naturally	655832	what dressing goes with a cobb salad	80
190044	foods to detox liver naturally	660500	what food is a natural diuretic	81
190044	foods to detox liver naturally	820896	what is the fast food in-n-out restaurant dressing	82
190044	foods to detox liver naturally	195830	good source of food if feeling nauseous	83
190044	foods to detox liver naturally	189752	foods that reduce nausea	84
190044	foods to detox liver naturally	440782	list of foods containing oxalates	85
190044	foods to detox liver naturally	360056	how to flavor moonshine after its made	86
190044	foods to detox liver naturally	669043	what herbs go well with sweet cherries	87
190044	foods to detox liver naturally	532884	unusual items that can be recycled	88
190044	foods to detox liver naturally	75614	can we take our own food to chuck e cheese	89
190044	foods to detox liver naturally	451992	medication used for detoxing	90
190044	foods to detox liver naturally	77225	can you eat sulfide products	91
190044	foods to detox liver naturally	892191	what salad dressings do not contain sulfite?	92
190044	foods to detox liver naturally	565279	what are some common mexican ingredients	93
190044	foods to detox liver naturally	462685	natural sulfites in food list containing	94
190044	foods to detox liver naturally	406068	is chex mix a good idea for baby shower favor	95
190044	foods to detox liver naturally	967533	where can i buy menoquil	96
190044	foods to detox liver naturally	5655	Ranch Dip Mix Recipe	97
190044	foods to detox liver naturally	908070	what to take for indigestion	98
190044	foods to detox liver naturally	177401	easiest food to digest and eliminate	99
190044	foods to detox liver naturally	907742	what to make with dried cherries	100
451602	medicare's definition of mechanical ventilation	690408	what is a mechanical ventilation system	1
451602	medicare's definition of mechanical ventilation	393524	in medicare, why are they called swing beds	2
451602	medicare's definition of mechanical ventilation	93702	cms definition of mechanical ventilation	3
451602	medicare's definition of mechanical ventilation	860652	what is ventilation medical term	4
451602	medicare's definition of mechanical ventilation	1044758	who needs mechanical ventilation	5
451602	medicare's definition of mechanical ventilation	580500	what came before nursing home arbitration	6
451602	medicare's definition of mechanical ventilation	690561	what is a medicare rfp	7
451602	medicare's definition of mechanical ventilation	188115	flow in mechanical ventilation definition	8
451602	medicare's definition of mechanical ventilation	761444	what is it called when you remove ventilation	9
451602	medicare's definition of mechanical ventilation	714715	what is an health room?	10
451602	medicare's definition of mechanical ventilation	451417	medicare benefit manual on ambulatory procedures	11
451602	medicare's definition of mechanical ventilation	770543	what is medicare	12
451602	medicare's definition of mechanical ventilation	490662	rug medicare definition	13
451602	medicare's definition of mechanical ventilation	451590	medicare show what type of facility a patient is enrolled	14
451602	medicare's definition of mechanical ventilation	451429	medicare certification definition	15
451602	medicare's definition of mechanical ventilation	1166572	what are medicare	16
451602	medicare's definition of mechanical ventilation	770547	what is medicare ?	17
451602	medicare's definition of mechanical ventilation	653004	what does the t stand for in medicare	18
451602	medicare's definition of mechanical ventilation	131389	definition medicare	19
451602	medicare's definition of mechanical ventilation	711580	what is an ambulatory care facility?	20
451602	medicare's definition of mechanical ventilation	648959	what does t stand for in medicare	21
451602	medicare's definition of mechanical ventilation	711582	what is an ambulatory healthcare facility	22
451602	medicare's definition of mechanical ventilation	826098	what is the inspection of a hospital called	23
451602	medicare's definition of mechanical ventilation	697963	what is a residential healthcare facility	24
451602	medicare's definition of mechanical ventilation	706157	what is a welcome to medicare physical	25
451602	medicare's definition of mechanical ventilation	451599	medicare will cover nursing home expenses for rehabilitative services if the patient	26
451602	medicare's definition of mechanical ventilation	886912	what physical therapy is covered by medicare	27
451602	medicare's definition of mechanical ventilation	634665	what does cnm stand for in health care	28
451602	medicare's definition of mechanical ventilation	690563	what is a medicare wellness exam	29
451602	medicare's definition of mechanical ventilation	528702	types of mechanical vent	30
451602	medicare's definition of mechanical ventilation	93730	cms mobile health definition	31
451602	medicare's definition of mechanical ventilation	877171	what medical equipment is covered by medicare	32
451602	medicare's definition of mechanical ventilation	778401	what is nursing home under when looking at health benefits	33
451602	medicare's definition of mechanical ventilation	770555	what is medicare and medical	34
451602	medicare's definition of mechanical ventilation	226863	how does medicare work for recurring rental of medical equipment	35
451602	medicare's definition of mechanical ventilation	549124	what a cna does in a hospital	36
451602	medicare's definition of mechanical ventilation	1026076	who designed medicare	37
451602	medicare's definition of mechanical ventilation	832349	what is the medicare carriers manual	38
451602	medicare's definition of mechanical ventilation	929665	what's a housekeeping room attendant	39
451602	medicare's definition of mechanical ventilation	647059	what does rfp stand for in healthcare	40
451602	medicare's definition of mechanical ventilation	733497	what is considered a skilled service for medicare a coverage in a skilled nursing facility	41
451602	medicare's definition of mechanical ventilation	711581	what is an ambulatory care unit at a hospital	42
